carat,cut,color,clarity,depth,table,price,x,y,z,log_price,cut_encoded,color_encoded,clarity_encoded
1.51,Very Good,J,VS2,59.7,59.0,8735,7.51,7.47,4.47,9.075093222568157,2,0,3
1.5,Good,I,SI1,64.3,55.0,8736,7.24,7.19,4.64,9.075207697984686,1,1,2
1.5,Good,J,VS1,63.3,57.0,8736,7.2,7.24,4.57,9.075207697984686,1,0,4
1.5,Good,I,SI1,63.8,59.0,8736,7.21,7.11,4.57,9.075207697984686,1,1,2
1.5,Premium,I,SI1,61.2,61.0,8736,7.34,7.3,4.48,9.075207697984686,3,1,2
1.5,Premium,I,SI1,62.0,62.0,8736,7.35,7.3,4.54,9.075207697984686,3,1,2
1.5,Very Good,F,VS2,63.4,61.0,8736,7.12,7.08,4.5,9.075207697984686,2,4,3
1.5,Ideal,I,SI1,62.3,55.0,8736,7.35,7.31,4.57,9.075207697984686,4,1,2
1.0,Premium,F,VVS1,62.6,58.0,8736,6.45,6.33,4.0,9.075207697984686,3,4,6
1.5,Premium,G,SI2,58.5,62.0,8736,7.44,7.4,4.34,9.075207697984686,3,3,1
1.5,Good,I,SI1,64.0,60.0,8736,7.25,7.13,4.6,9.075207697984686,1,1,2
1.5,Ideal,I,SI1,64.2,59.0,8736,7.13,7.1,4.57,9.075207697984686,4,1,2
1.5,Good,H,VS1,64.3,57.0,8736,7.12,7.0,4.54,9.075207697984686,1,2,4
1.5,Ideal,G,SI2,62.0,57.0,8736,7.31,7.26,4.52,9.075207697984686,4,3,1
1.5,Premium,G,SI2,60.7,61.0,8736,7.36,7.33,4.46,9.075207697984686,3,3,1
1.5,Ideal,G,SI2,61.4,56.0,8736,7.38,7.34,4.52,9.075207697984686,4,3,1
1.25,Premium,G,VS1,60.0,61.0,8736,7.03,6.92,4.23,9.075207697984686,3,3,4
2.0,Fair,I,SI2,69.1,56.0,8736,7.84,7.7,5.37,9.075207697984686,0,1,1
1.52,Premium,D,SI2,60.2,60.0,8737,7.4,7.46,4.47,9.075322160298095,3,6,1
1.22,Premium,G,VS1,62.2,59.0,8739,6.87,6.82,4.26,9.075551045627543,3,3,4
1.53,Premium,D,SI2,59.9,58.0,8739,7.54,7.41,4.48,9.075551045627543,3,6,1
1.45,Premium,G,VS1,60.5,60.0,8740,7.27,7.16,4.37,9.07566546864958,3,3,4
1.21,Good,G,VS1,63.6,56.0,8741,6.8,6.72,4.3,9.075779878580487,1,3,4
1.03,Ideal,D,VS1,61.5,57.0,8742,6.48,6.52,4.0,9.07589427542326,4,6,4
1.51,Good,D,SI2,61.5,61.0,8742,7.37,7.42,4.55,9.07589427542326,1,6,1
1.15,Ideal,F,VVS2,62.1,55.0,8743,6.69,6.74,4.17,9.076008659180891,4,4,5
1.14,Ideal,G,VVS2,62.3,55.0,8743,6.64,6.72,4.18,9.076008659180891,4,3,5
1.7,Ideal,I,SI2,60.7,59.0,8743,7.69,7.64,4.65,9.076008659180891,4,1,1
1.64,Premium,I,SI2,61.3,58.0,8743,7.62,7.58,4.66,9.076008659180891,3,1,1
1.02,Very Good,E,VVS2,60.3,58.0,8745,6.53,6.57,3.95,9.076237387452702,2,5,5
1.35,Premium,H,VS1,60.5,60.0,8747,7.19,7.16,4.34,9.076466063419854,3,2,4
1.04,Very Good,E,VVS2,62.4,58.0,8748,6.46,6.4,4.01,9.076580381796658,2,5,5
1.55,Premium,J,VS1,62.6,59.0,8749,7.4,7.35,4.62,9.076694687106265,3,0,4
1.5,Good,H,VS1,64.2,56.0,8749,7.3,7.09,4.62,9.076694687106265,1,2,4
1.0,Good,E,VVS2,63.5,55.0,8750,6.31,6.36,4.02,9.07680897935166,1,5,5
1.01,Good,E,VVS2,63.3,58.0,8752,6.31,6.39,4.02,9.077037524661762,1,5,5
1.51,Ideal,I,SI1,61.2,58.0,8752,7.35,7.4,4.51,9.077037524661762,4,1,2
1.51,Ideal,I,SI1,62.4,59.0,8752,7.27,7.34,4.56,9.077037524661762,4,1,2
1.51,Premium,H,SI1,61.5,58.0,8752,7.38,7.31,4.52,9.077037524661762,3,2,2
1.57,Premium,J,VS1,61.3,59.0,8752,7.47,7.44,4.57,9.077037524661762,3,0,4
1.57,Ideal,G,SI1,61.7,55.0,8752,7.51,7.44,4.61,9.077037524661762,4,3,2
1.09,Ideal,G,VVS2,61.8,56.0,8753,6.58,6.62,4.08,9.077151777732437,4,3,5
1.51,Very Good,I,SI1,63.0,59.0,8758,7.26,7.31,4.59,9.077722847361343,2,1,2
1.7,Ideal,J,SI1,60.9,57.0,8758,7.73,7.66,4.69,9.077722847361343,4,0,2
1.41,Premium,G,SI1,59.5,59.0,8758,7.35,7.3,4.36,9.077722847361343,3,3,2
1.23,Premium,G,VS1,61.3,58.0,8759,6.87,6.89,4.22,9.07783702216309,3,3,4
1.28,Ideal,H,VVS1,61.7,55.0,8759,6.97,7.01,4.31,9.07783702216309,4,2,6
1.21,Ideal,G,VS1,62.7,54.0,8759,6.79,6.83,4.27,9.07783702216309,4,3,4
1.5,Premium,J,VVS2,61.8,60.0,8760,7.36,7.33,4.54,9.077951183930438,3,0,5
1.56,Ideal,J,VS1,62.5,56.0,8763,7.38,7.46,4.64,9.07829359105585,4,0,4
0.31,Very Good,G,VS1,59.6,61.0,625,4.35,4.38,2.6,6.437751649736401,2,3,4
0.31,Premium,G,VS1,61.2,60.0,625,4.3,4.33,2.64,6.437751649736401,3,3,4
0.31,Good,F,VS2,63.4,56.0,625,4.31,4.34,2.74,6.437751649736401,1,4,3
0.31,Premium,G,VS1,62.1,58.0,625,4.31,4.36,2.69,6.437751649736401,3,3,4
0.31,Very Good,F,VS2,62.9,56.0,625,4.3,4.32,2.71,6.437751649736401,2,4,3
0.31,Very Good,G,VS1,62.0,59.0,625,4.28,4.3,2.66,6.437751649736401,2,3,4
0.31,Ideal,H,VVS2,62.4,57.0,625,4.32,4.36,2.71,6.437751649736401,4,2,5
0.31,Ideal,F,VS2,61.5,56.0,625,4.34,4.37,2.68,6.437751649736401,4,4,3
0.31,Very Good,H,VVS2,61.4,58.0,625,4.32,4.37,2.67,6.437751649736401,2,2,5
0.31,Ideal,F,VS2,62.6,57.0,625,4.29,4.33,2.7,6.437751649736401,4,4,3
0.31,Premium,F,VS2,62.3,59.0,625,4.3,4.33,2.69,6.437751649736401,3,4,3
0.31,Ideal,F,VS2,62.0,56.0,625,4.35,4.39,2.71,6.437751649736401,4,4,3
0.31,Good,H,VVS2,63.6,56.0,625,4.28,4.33,2.74,6.437751649736401,1,2,5
0.31,Very Good,H,VVS2,62.8,57.0,625,4.3,4.33,2.71,6.437751649736401,2,2,5
0.31,Premium,F,VS2,62.3,60.0,625,4.32,4.35,2.7,6.437751649736401,3,4,3
0.31,Premium,G,VS1,59.5,59.0,625,4.4,4.47,2.64,6.437751649736401,3,3,4
0.31,Premium,F,VS2,62.0,60.0,625,4.3,4.34,2.68,6.437751649736401,3,4,3
0.31,Premium,H,VVS2,61.2,59.0,625,4.34,4.38,2.67,6.437751649736401,3,2,5
0.31,Good,F,VS2,63.4,56.0,625,4.29,4.32,2.73,6.437751649736401,1,4,3
0.31,Premium,F,VS2,62.4,58.0,625,4.31,4.34,2.7,6.437751649736401,3,4,3
0.31,Ideal,F,VS2,61.6,55.0,625,4.36,4.37,2.69,6.437751649736401,4,4,3
0.31,Premium,G,VS1,62.1,58.0,625,4.31,4.35,2.69,6.437751649736401,3,3,4
0.31,Good,H,VVS2,63.7,55.0,625,4.28,4.32,2.74,6.437751649736401,1,2,5
0.31,Very Good,G,VS1,62.2,56.0,625,4.32,4.36,2.7,6.437751649736401,2,3,4
0.31,Very Good,F,VS2,62.8,57.0,625,4.34,4.36,2.73,6.437751649736401,2,4,3
0.31,Very Good,G,VS1,62.8,58.0,625,4.27,4.3,2.69,6.437751649736401,2,3,4
0.31,Premium,H,VVS2,62.4,59.0,625,4.31,4.35,2.7,6.437751649736401,3,2,5
0.31,Ideal,H,VVS2,62.5,55.0,625,4.34,4.37,2.72,6.437751649736401,4,2,5
0.31,Premium,H,VVS2,60.6,60.0,625,4.34,4.38,2.64,6.437751649736401,3,2,5
0.31,Ideal,H,VVS2,61.5,56.0,625,4.35,4.37,2.68,6.437751649736401,4,2,5
1.25,Ideal,F,VS2,62.8,57.0,8764,6.87,6.85,4.31,9.078407700715356,4,4,3
1.31,Premium,E,SI1,62.4,58.0,8767,7.03,6.95,4.36,9.078749951588586,3,5,2
1.02,Premium,G,VVS1,58.0,61.0,8768,6.67,6.58,3.84,9.078864009187797,3,3,6
1.2,Very Good,E,VS2,60.7,59.0,8769,6.79,6.86,4.14,9.078978053779355,2,5,3
1.51,Premium,J,VVS2,62.6,59.0,8770,7.31,7.33,4.58,9.079092085366229,3,0,5
1.51,Premium,J,VVS2,62.5,59.0,8770,7.29,7.34,4.57,9.079092085366229,3,0,5
1.51,Very Good,J,VVS2,62.9,58.0,8770,7.21,7.33,4.57,9.079092085366229,2,0,5
1.5,Ideal,F,SI1,60.9,56.0,8770,7.43,7.36,4.5,9.079092085366229,4,4,2
1.5,Premium,F,SI1,62.1,60.0,8770,7.32,7.27,4.53,9.079092085366229,3,4,2
1.34,Ideal,H,VS2,61.9,55.0,8771,7.05,7.08,4.37,9.079206103951382,4,2,3
1.0,Very Good,F,VVS2,62.3,57.0,8772,6.34,6.41,3.97,9.079320109537779,2,4,5
1.12,Ideal,G,VVS2,62.0,55.0,8773,6.67,6.69,4.14,9.079434102128383,4,3,5
1.02,Premium,F,VVS2,60.9,59.0,8774,6.56,6.44,3.96,9.07954808172616,3,4,5
1.31,Ideal,H,VS1,62.5,56.0,8774,7.03,6.95,4.37,9.07954808172616,4,2,4
1.21,Ideal,G,VS1,62.6,56.0,8774,6.81,6.77,4.25,9.07954808172616,4,3,4
1.21,Premium,G,VS1,62.7,58.0,8774,6.85,6.76,4.27,9.07954808172616,3,3,4
1.28,Ideal,G,VS2,62.2,57.0,8774,6.99,6.94,4.33,9.07954808172616,4,3,3
1.1,Ideal,G,VS1,61.3,56.0,8775,6.65,6.69,4.09,9.079662048334066,4,3,4
1.06,Ideal,F,VVS2,61.1,57.0,8776,6.62,6.57,4.03,9.079776001955066,4,4,5
1.58,Premium,H,SI2,62.4,57.0,8777,7.45,7.36,4.62,9.079889942592118,3,2,1
1.52,Good,I,VS2,63.3,61.0,8778,7.23,7.27,4.59,9.080003870248179,1,1,3
1.09,Ideal,G,VVS1,62.1,55.0,8778,6.58,6.63,4.1,9.080003870248179,4,3,6
1.01,Ideal,G,IF,62.8,57.0,8778,6.42,6.39,4.02,9.080003870248179,4,3,7
1.6,Ideal,H,SI2,61.5,55.0,8779,7.53,7.55,4.64,9.080117784926209,4,2,1
1.49,Fair,F,SI1,59.6,63.0,8779,7.2,7.34,4.33,9.080117784926209,0,4,2
1.22,Premium,G,VS1,61.3,58.0,8779,6.91,6.89,4.23,9.080117784926209,3,3,4
1.5,Good,I,VS2,60.5,60.0,8780,7.26,7.32,4.41,9.080231686629162,1,1,3
2.01,Good,I,SI2,63.8,57.0,8780,8.0,7.95,5.1,9.080231686629162,1,1,1
1.34,Ideal,H,VS1,61.6,57.0,8780,7.14,7.07,4.38,9.080231686629162,4,2,4
1.58,Very Good,I,SI1,63.1,55.0,8782,7.42,7.45,4.69,9.080459451121662,2,1,2
1.22,Ideal,F,VS2,61.5,57.0,8783,6.87,6.91,4.24,9.080573313917117,4,4,3
1.04,Very Good,F,VVS2,62.5,58.0,8785,6.37,6.46,4.01,9.080801000621198,2,4,5
1.12,Very Good,E,VS1,60.8,58.0,8788,6.69,6.73,4.08,9.081142433504501,2,5,4
1.51,Very Good,J,VVS2,60.6,58.0,8789,7.36,7.4,4.47,9.081256218564645,2,0,5
1.25,Ideal,H,VVS2,60.8,57.0,8789,6.95,6.99,4.24,9.081256218564645,4,2,5
1.5,Very Good,H,SI1,61.5,62.0,8791,7.24,7.3,4.47,9.081483749851179,2,2,2
1.22,Very Good,G,IF,62.0,59.0,8793,6.8,6.85,4.23,9.081711229379001,2,3,7
1.51,Ideal,G,SI2,60.8,57.0,8794,7.44,7.39,4.51,9.081824949740755,4,3,1
1.64,Very Good,G,SI2,60.9,57.0,8794,7.57,7.61,4.62,9.081824949740755,2,3,1
1.52,Very Good,I,SI1,63.7,58.0,8794,7.23,7.3,4.63,9.081824949740755,2,1,2
1.51,Premium,G,SI2,62.8,56.0,8794,7.3,7.22,4.56,9.081824949740755,3,3,1
1.51,Fair,G,VS2,56.0,65.0,8794,7.68,7.57,4.27,9.081824949740755,0,3,3
1.51,Premium,I,SI1,62.2,60.0,8794,7.3,7.23,4.52,9.081824949740755,3,1,2
1.51,Premium,I,SI1,62.6,60.0,8794,7.34,7.27,4.57,9.081824949740755,3,1,2
1.51,Fair,G,SI2,65.5,55.0,8794,7.14,7.08,4.66,9.081824949740755,0,3,1
1.51,Good,F,VS2,64.0,59.0,8794,7.16,7.08,4.56,9.081824949740755,1,4,3
1.51,Ideal,G,SI2,60.5,55.0,8794,7.4,7.36,4.46,9.081824949740755,4,3,1
1.51,Premium,I,SI1,62.7,61.0,8794,7.33,7.27,4.58,9.081824949740755,3,1,2
1.04,Ideal,G,VVS1,62.2,55.0,8794,6.51,6.48,4.04,9.081824949740755,4,3,6
1.22,Very Good,G,VS1,61.2,58.0,8795,6.84,6.86,4.19,9.081938657171658,2,3,4
1.2,Premium,F,VS2,62.1,54.0,8796,6.77,6.73,4.19,9.082052351674651,3,4,3
1.1,Ideal,F,VS1,61.5,55.0,8796,6.69,6.64,4.1,9.082052351674651,4,4,4
1.1,Ideal,F,VS1,61.5,59.0,8796,6.63,6.58,4.06,9.082052351674651,4,4,4
1.2,Premium,F,VS2,60.4,59.0,8796,6.91,6.89,4.17,9.082052351674651,3,4,3
1.1,Premium,D,VS2,58.2,57.0,8796,6.81,6.77,3.95,9.082052351674651,3,6,3
1.01,Very Good,E,VVS2,63.4,57.0,8797,6.45,6.33,4.05,9.082166033252674,2,5,5
1.24,Ideal,G,VS2,62.0,56.0,8797,6.87,6.9,4.27,9.082166033252674,4,3,3
1.24,Ideal,G,VS2,62.3,57.0,8799,6.95,6.89,4.31,9.08239335764556,4,3,3
1.53,Premium,G,SI2,61.3,59.0,8799,7.49,7.43,4.57,9.08239335764556,3,3,1
1.71,Fair,I,SI2,65.1,60.0,8800,7.5,7.46,4.87,9.082507000466299,0,1,1
1.16,Ideal,G,VVS2,62.0,56.0,8803,6.75,6.71,4.17,9.082847851460906,4,3,5
1.17,Ideal,F,VS1,62.2,56.0,8806,6.77,6.74,4.2,9.0831885863157,4,4,4
2.74,Fair,J,I1,64.9,61.0,8807,8.76,8.66,5.65,9.08330213880546,0,0,0
1.6,Premium,I,SI1,60.3,59.0,8808,7.56,7.61,4.57,9.083415678402515,3,1,2
1.54,Very Good,G,SI2,61.5,61.0,8808,7.35,7.42,4.54,9.083415678402515,2,3,1
1.43,Premium,F,SI1,61.5,58.0,8809,7.27,7.22,4.45,9.083529205109796,3,4,2
1.09,Ideal,E,VS1,61.3,56.0,8809,6.71,6.66,4.1,9.083529205109796,4,5,4
1.23,Premium,G,VVS2,59.6,59.0,8810,6.95,6.98,4.15,9.083642718930225,3,3,5
1.52,Premium,E,SI2,62.0,62.0,8810,7.2,7.13,4.44,9.083642718930225,3,5,1
1.03,Ideal,E,VVS2,61.9,57.0,8811,6.46,6.5,4.01,9.08375621986673,4,5,5
1.41,Premium,H,VS2,61.2,60.0,8812,7.21,7.17,4.4,9.083869707922235,3,2,3
1.04,Premium,G,IF,60.7,58.0,8813,6.65,6.52,4.0,9.08398318309966,3,3,7
1.59,Ideal,I,SI2,60.5,55.1,8814,7.55,7.62,4.59,9.084096645401932,4,1,1
1.48,Very Good,H,SI1,62.5,59.0,8815,7.16,7.23,4.5,9.08421009483197,2,2,2
1.73,Premium,F,SI2,63.0,60.0,8816,7.63,7.52,4.77,9.084323531392696,3,4,1
1.31,Premium,G,VS2,60.3,59.0,8818,7.08,7.12,4.28,9.084550365917883,3,3,3
1.52,Fair,H,SI1,61.2,60.0,8818,7.39,7.29,4.49,9.084550365917883,0,2,2
1.48,Ideal,E,SI2,62.1,57.0,8818,7.35,7.28,4.54,9.084550365917883,4,5,1
1.02,Ideal,D,VS1,60.8,55.0,8818,6.55,6.5,3.97,9.084550365917883,4,6,4
1.25,Premium,G,VS2,62.6,58.0,8820,6.87,6.8,4.28,9.084777149000837,3,3,3
1.5,Very Good,E,SI2,63.1,57.0,8820,7.32,7.27,4.6,9.084777149000837,2,5,1
1.5,Good,F,SI2,62.6,64.0,8820,7.25,7.19,4.52,9.084777149000837,1,4,1
1.75,Premium,F,SI2,58.0,59.0,8820,7.97,7.92,4.61,9.084777149000837,3,4,1
1.5,Premium,I,VS2,58.4,61.0,8820,7.48,7.42,4.35,9.084777149000837,3,1,3
1.5,Premium,I,VS2,62.3,58.0,8820,7.31,7.26,4.54,9.084777149000837,3,1,3
1.05,Ideal,D,VS1,60.5,57.0,8820,6.61,6.58,3.99,9.084777149000837,4,6,4
1.5,Premium,G,SI2,60.1,59.0,8820,7.38,7.36,4.43,9.084777149000837,3,3,1
1.5,Premium,I,VS2,62.9,58.0,8820,7.17,7.08,4.48,9.084777149000837,3,1,3
1.5,Good,E,SI1,64.1,56.0,8820,7.21,7.14,4.6,9.084777149000837,1,5,2
1.01,Premium,D,VS1,61.6,58.0,8823,6.44,6.42,3.96,9.085117227222105,3,6,4
1.21,Ideal,G,VS1,61.4,56.0,8824,6.84,6.9,4.22,9.085230560933338,4,3,4
1.52,Premium,H,VS2,61.1,61.0,8825,7.4,7.36,4.51,9.085343881801498,3,2,3
1.5,Very Good,E,SI2,62.7,56.0,8827,7.33,7.38,4.61,9.085570485020233,2,5,1
1.51,Premium,F,SI1,60.9,59.0,8828,7.42,7.33,4.49,9.085683767376628,3,4,2
1.84,Ideal,J,VS1,62.4,56.0,8828,7.84,7.8,4.89,9.085683767376628,4,0,4
1.2,Very Good,F,VS2,62.4,58.0,8829,6.75,6.81,4.23,9.085797036901582,2,4,3
1.59,Premium,H,SI1,61.0,58.0,8829,7.58,7.51,4.6,9.085797036901582,3,2,2
1.24,Ideal,G,VS1,61.5,56.0,8830,6.92,6.97,4.27,9.085910293598007,4,3,4
1.22,Ideal,G,VS1,62.6,54.4,8830,6.77,6.83,4.26,9.085910293598007,4,3,4
1.55,Ideal,I,VS2,62.6,56.0,8831,7.35,7.41,4.62,9.086023537468803,4,1,3
1.71,Good,J,VS2,62.8,58.0,8831,7.48,7.55,4.72,9.086023537468803,1,0,3
1.66,Very Good,H,SI1,63.3,59.0,8831,7.48,7.45,4.72,9.086023537468803,2,2,2
1.59,Ideal,I,SI1,62.1,57.0,8835,7.48,7.46,4.64,9.086476384753796,4,1,2
1.64,Premium,E,SI2,61.9,61.0,8835,7.54,7.51,4.66,9.086476384753796,3,5,1
1.51,Very Good,I,VS2,62.3,60.0,8836,7.29,7.35,4.56,9.086589564540008,2,1,3
1.51,Premium,E,SI1,63.0,58.0,8836,7.4,7.27,4.62,9.086589564540008,3,5,2
1.75,Ideal,J,SI1,63.3,59.0,8840,7.63,7.57,4.81,9.08704215563169,4,0,2
1.77,Premium,J,SI2,62.0,55.0,8840,7.84,7.72,4.82,9.08704215563169,3,0,1
1.7,Premium,I,VS1,61.5,58.0,8840,7.74,7.64,4.73,9.08704215563169,3,1,4
1.25,Premium,F,VS2,61.5,60.0,8840,6.93,6.89,4.25,9.08704215563169,3,4,3
1.29,Premium,G,VS2,58.7,58.0,8842,7.27,7.11,4.22,9.087268374386188,3,3,3
1.11,Ideal,G,VVS2,63.1,57.0,8843,6.55,6.6,4.15,9.087381464575735,4,3,5
1.41,Very Good,H,VS2,62.5,58.0,8846,7.08,7.12,4.44,9.087720658428273,2,2,3
1.4,Premium,H,VS2,62.9,55.0,8847,7.15,7.06,4.47,9.087833697483386,3,2,3
1.02,Ideal,G,VVS2,62.1,54.0,8847,6.54,6.51,4.05,9.087833697483386,4,3,5
1.71,Premium,J,SI1,62.9,58.0,8848,7.64,7.58,4.79,9.087946723762116,3,0,2
1.54,Ideal,J,VS1,62.2,59.0,8848,7.34,7.38,4.58,9.087946723762116,4,0,4
1.01,Very Good,E,VVS2,63.1,57.0,8849,6.31,6.39,4.01,9.08805973726735,2,5,5
1.05,Ideal,G,IF,62.5,56.0,8850,6.48,6.52,4.06,9.088172738001974,4,3,7
1.05,Premium,G,IF,60.6,60.0,8850,6.57,6.59,3.99,9.088172738001974,3,3,7
1.25,Very Good,E,VS2,61.6,57.0,8851,6.9,6.94,4.26,9.088285725968877,2,5,3
1.11,Very Good,E,VS1,61.6,57.0,8852,6.59,6.63,4.07,9.08839870117094,2,5,4
1.2,Ideal,H,VS1,60.9,57.0,8852,6.87,6.9,4.19,9.08839870117094,4,2,4
1.52,Good,I,SI1,64.1,57.0,8852,7.26,7.21,4.64,9.08839870117094,1,1,2
1.52,Premium,I,SI1,58.1,62.0,8852,7.61,7.56,4.41,9.08839870117094,3,1,2
1.6,Premium,I,SI1,62.1,58.0,8852,7.51,7.47,4.65,9.08839870117094,3,1,2
1.52,Premium,I,SI1,60.5,60.0,8852,7.48,7.4,4.5,9.08839870117094,3,1,2
1.52,Ideal,G,SI2,61.3,57.0,8852,7.39,7.36,4.52,9.08839870117094,4,3,1
1.3,Premium,G,VS2,62.2,58.0,8854,6.92,6.98,4.32,9.088624613292087,3,3,3
1.51,Good,H,SI1,62.2,61.0,8854,7.25,7.32,4.53,9.088624613292087,1,2,2
1.23,Premium,F,VS2,59.6,58.0,8855,6.94,7.02,4.16,9.088737550216933,3,4,3
1.46,Ideal,H,SI1,62.4,55.0,8855,7.26,7.22,4.52,9.088737550216933,4,2,2
1.51,Very Good,I,SI1,59.3,59.0,8856,7.49,7.59,4.47,9.088850474388472,2,1,2
1.56,Premium,D,SI2,61.1,56.0,8858,7.54,7.45,4.58,9.089076284483143,3,6,1
1.56,Premium,I,VVS2,60.5,58.0,8858,7.53,7.45,4.53,9.089076284483143,3,1,5
1.11,Ideal,G,VVS2,61.8,57.0,8858,6.67,6.64,4.11,9.089076284483143,4,3,5
1.56,Premium,G,SI2,61.7,59.0,8858,7.51,7.43,4.61,9.089076284483143,3,3,1
1.56,Ideal,I,SI1,61.4,56.0,8858,7.47,7.42,4.57,9.089076284483143,4,1,2
1.03,Ideal,F,VVS2,61.6,56.0,8860,6.53,6.46,4.0,9.089302043599126,4,4,5
1.01,Ideal,F,VS1,61.8,57.0,8860,6.41,6.46,3.98,9.089302043599126,4,4,4
1.52,Good,J,VVS2,57.9,62.0,8861,7.61,7.63,4.41,9.089414904047302,1,0,5
1.15,Premium,G,VVS1,60.8,58.0,8863,6.74,6.77,4.11,9.089640586738398,3,3,6
1.21,Ideal,E,SI1,61.8,56.0,8863,6.82,6.86,4.23,9.089640586738398,4,5,2
1.21,Ideal,G,VS1,61.8,55.0,8864,6.81,6.87,4.23,9.089753408987065,4,3,4
1.62,Ideal,H,SI2,61.8,54.0,8865,7.55,7.6,4.68,9.089866218508309,4,2,1
1.55,Premium,I,SI1,62.5,60.0,8866,7.33,7.35,4.59,9.089979015305,3,1,2
1.52,Good,D,SI2,63.2,58.0,8868,7.25,7.31,4.6,9.090204570736201,1,6,1
1.52,Very Good,D,SI2,61.2,63.0,8868,7.31,7.39,4.5,9.090204570736201,2,6,1
1.13,Premium,G,VVS1,59.3,59.0,8868,6.87,6.79,4.05,9.090204570736201,3,3,6
1.01,Ideal,G,IF,61.5,58.0,8869,6.44,6.47,3.97,9.090317329376452,4,3,7
1.01,Ideal,G,IF,60.8,59.0,8869,6.47,6.5,3.94,9.090317329376452,4,3,7
1.51,Fair,E,SI1,65.3,62.0,8869,7.16,7.09,4.65,9.090317329376452,0,5,2
2.0,Very Good,J,SI2,62.1,63.0,8870,7.96,7.85,4.91,9.090430075303626,2,0,1
1.05,Ideal,F,VVS2,61.9,57.0,8870,6.5,6.52,4.03,9.090430075303626,4,4,5
1.6,Premium,J,VS1,61.3,59.0,8870,7.49,7.52,4.6,9.090430075303626,3,0,4
1.7,Very Good,J,SI1,61.9,59.0,8870,7.59,7.64,4.71,9.090430075303626,2,0,2
1.5,Premium,J,VVS2,61.5,60.0,8870,7.31,7.27,4.48,9.090430075303626,3,0,5
1.2,Very Good,F,VS2,63.5,57.0,8870,6.73,6.65,4.25,9.090430075303626,2,4,3
1.21,Premium,F,VS2,60.1,55.0,8870,7.01,6.91,4.18,9.090430075303626,3,4,3
1.2,Premium,G,VVS2,62.4,56.0,8870,6.74,6.68,4.19,9.090430075303626,3,3,5
1.08,Ideal,G,IF,61.3,57.0,8873,6.59,6.62,4.05,9.090768236835338,4,3,7
1.55,Very Good,G,SI2,61.9,60.0,8873,7.31,7.36,4.54,9.090768236835338,2,3,1
1.39,Premium,G,VS2,62.0,56.0,8874,7.18,7.14,4.44,9.090880931938855,3,3,3
1.28,Premium,G,VS2,61.6,58.0,8874,7.02,6.98,4.31,9.090880931938855,3,3,3
1.36,Premium,H,VS2,61.9,58.0,8877,7.15,7.09,4.41,9.09121894106832,3,2,3
1.21,Premium,F,VS2,61.5,57.0,8877,6.81,6.74,4.17,9.09121894106832,3,4,3
1.51,Ideal,I,VS2,62.9,57.0,8879,7.27,7.23,4.56,9.091444217032327,4,1,3
1.51,Premium,E,SI2,58.8,62.0,8879,7.5,7.41,4.39,9.091444217032327,3,5,1
1.51,Fair,I,VS2,64.8,60.0,8879,7.18,7.1,4.63,9.091444217032327,0,1,3
1.21,Premium,F,VS1,61.3,57.0,8879,6.9,6.86,4.22,9.091444217032327,3,4,4
1.21,Premium,F,VS1,62.5,60.0,8879,6.77,6.7,4.21,9.091444217032327,3,4,4
1.21,Very Good,E,VS2,61.5,59.0,8886,6.82,6.88,4.21,9.092232283495854,2,5,3
1.6,Ideal,J,VS2,61.9,55.0,8886,7.51,7.54,4.66,9.092232283495854,4,0,3
1.24,Ideal,E,VS2,62.7,58.0,8887,6.79,6.86,4.28,9.092344813738475,4,5,3
1.29,Ideal,H,VS1,61.2,57.0,8887,7.01,7.05,4.3,9.092344813738475,4,2,4
1.58,Premium,H,SI2,60.4,58.0,8887,7.6,7.52,4.57,9.092344813738475,3,2,1
1.71,Premium,J,VS2,60.3,61.0,8887,7.74,7.69,4.65,9.092344813738475,3,0,3
1.0,Premium,E,VVS2,62.7,60.0,8888,6.32,6.34,3.97,9.092457331319466,3,5,5
1.0,Premium,E,VVS2,61.6,59.0,8888,6.42,6.46,3.97,9.092457331319466,3,5,5
1.51,Ideal,J,SI1,62.6,54.0,8888,7.26,7.35,4.57,9.092457331319466,4,0,2
1.13,Ideal,G,VVS2,61.5,57.0,8889,6.67,6.71,4.12,9.092569836241674,4,3,5
1.78,Premium,J,SI2,62.6,58.0,8889,7.78,7.72,4.85,9.092569836241674,3,0,1
1.5,Ideal,H,VS1,62.1,57.0,8891,7.37,7.23,4.53,9.09279480812114,4,2,4
1.54,Very Good,F,SI2,61.1,58.0,8893,7.36,7.47,4.53,9.09301972939964,2,4,1
1.5,Very Good,I,VS2,62.5,59.0,8893,7.26,7.3,4.55,9.09301972939964,2,1,3
1.06,Ideal,D,VS1,61.7,55.0,8893,6.53,6.57,4.04,9.09301972939964,4,6,4
1.28,Very Good,G,VS1,59.2,57.0,8895,7.05,7.13,4.2,9.093244600099936,2,3,4
1.07,Ideal,G,VVS1,60.9,56.0,8895,6.6,6.67,4.04,9.093244600099936,4,3,6
1.74,Ideal,I,SI2,61.6,57.0,8896,7.67,7.74,4.75,9.093357016490364,4,1,1
1.71,Very Good,I,SI2,62.7,58.0,8896,7.59,7.54,4.74,9.093357016490364,2,1,1
1.5,Very Good,J,VS1,63.3,57.0,8896,7.24,7.2,4.57,9.093357016490364,2,0,4
